Player,Pos,Age,Team,Venue,GF,GA,Opponent,MatchID,Round,Date,Score,Start Time,End Time,Minutes Played,Start Result,End Result,Result,Points,MOTM,Status,influence,bonus,total_points,bps,PM,GFteam,GAteam,TeamGF,TeamGA,TeamPM,TeamResult,Start Elo,K,Q,End Elo,E_i,C_i,Rating Change,avg_match_bps,maxbps,avg_match_inf,maxinf,adjBonus
Bruno Fernandes,"FW,AM",29.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Starter,15.0,0.0,3.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1778.1728222593865,0.6194757149530404,0.38052428504695957,13.357319331136345,11.78125,33.0,11.78125,33.2,0.09695030120481928
Marcus Rashford,LW,26.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Starter,4.6,0.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1774.3584101490362,0.6194757149530404,0.38052428504695957,9.5429072207861,11.78125,33.0,11.78125,33.2,-0.2163027108433735
Amad Diallo,RW,22.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,61.0,61,0-0,0-0,0.5,1.0,False,Other,7.4,0.0,3.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1759.12412597555,32.0,1.0,1756.5255667758024,0.6117231751424308,-0.07173803877566609,-2.598559199747471,11.78125,33.0,11.78125,33.2,-0.1319653614457831
Alejandro Garnacho,RW,20.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,61.0,95.0,34,0-0,1-0,1.0,3.0,False,Starter,21.2,0.0,4.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1780.4467987097876,0.6194757149530404,0.38052428504695957,15.631295781537453,11.78125,33.0,11.78125,33.2,0.28369728915662645
Mason Mount,AM,25.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,61.0,61,0-0,0-0,0.5,1.0,False,Other,10.2,0.0,2.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1759.12412597555,32.0,1.0,1756.7191730491247,0.6117231751424308,-0.07173803877566609,-2.4049529264251914,11.78125,33.0,11.78125,33.2,-0.04762801204819279
Joshua Zirkzee,FW,23.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,61.0,95.0,34,0-0,1-0,1.0,3.0,True,Transfer,33.2,3.0,8.0,33.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1761.9698144519002,32.0,1.0,1792.3241424671546,0.615606785632816,0.384393214367184,30.354328015254406,11.78125,33.0,11.78125,33.2,0.6451430722891567
Kobbie Mainoo,DM,19.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,84.0,84,0-0,0-0,0.5,1.0,False,Starter,12.0,0.0,3.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1761.4572428638364,0.6194757149530404,-0.10564168480058311,-3.3582600644137175,11.78125,33.0,11.78125,33.2,0.0065888554216867465
Scott McTominay,DM,27.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,84.0,95.0,11,0-0,1-0,1.0,3.0,False,Starter,0.6,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1772.8913285681324,0.6194757149530404,0.38052428504695957,8.07582563988216,11.78125,33.0,11.78125,33.2,-0.33678463855421686
Casemiro,DM,32.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Starter,26.8,0.0,3.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1782.5007129230532,0.6194757149530404,0.38052428504695957,17.68520999480297,11.78125,33.0,11.78125,33.2,0.4523719879518072
Diogo Dalot,"LB,RB",25.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Starter,13.4,1.0,7.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1777.585989627025,0.6194757149530404,0.38052428504695957,12.77048669877477,11.78125,33.0,11.78125,33.2,0.04875753012048194
Lisandro Martínez,"CB,LB",26.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Other,19.4,1.0,7.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1759.12412597555,32.0,1.0,1774.4002461149764,0.6117231751424308,0.3882768248575692,15.276120139426412,11.78125,33.0,11.78125,33.2,0.22948042168674693
Harry Maguire,CB,31.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,81.0,81,0-0,0-0,0.5,1.0,False,Starter,19.6,0.0,5.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1762.3234001284804,0.6194757149530404,-0.10186876748627657,-2.4921027997696936,11.78125,33.0,11.78125,33.2,0.23550451807228917
Jonny Evans,CB,36.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,81.0,95.0,14,0-0,1-0,1.0,3.0,False,Starter,1.4,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1773.1847448843132,0.6194757149530404,0.38052428504695957,8.369241956062949,11.78125,33.0,11.78125,33.2,-0.31268825301204817
Noussair Mazraoui,RB,26.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,81.0,81,0-0,0-0,0.5,1.0,False,Transfer,14.0,2.0,8.0,32.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1761.9698144519002,32.0,1.0,1759.0263718553922,0.615606785632816,-0.09856999617113786,-2.943442596508014,11.78125,33.0,11.78125,33.2,0.06682981927710843
Matthijs de Ligt,CB,25.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,81.0,95.0,14,0-0,1-0,1.0,3.0,False,Transfer,0.2,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1761.9698144519002,32.0,1.0,1769.979550165732,0.615606785632816,0.384393214367184,8.009735713831864,11.78125,33.0,11.78125,33.2,-0.3488328313253012
André Onana,GK,28.0,ManUnited,Home,1.0,0.0,Fulham,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,1.0,3.0,False,Starter,16.8,0.0,6.0,25.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1764.8155029282502,32.0,1.0,1778.8330089707933,0.6194757149530404,0.38052428504695957,14.017506042543118,11.78125,33.0,11.78125,33.2,0.15116716867469882
Rodrigo Muniz,FW,23.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,78.0,78,0-0,0-0,0.5,1.0,False,Starter,9.4,0.0,2.0,10.0,0.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1735.9259107562448,0.3802612157748522,0.09831184389012133,2.4941968879947427,11.78125,33.0,11.78125,33.2,-0.07172439759036144
Raúl Jiménez,FW,33.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,78.0,95.0,17,0-0,1-0,0.0,0.0,False,Sub,0.2,0.0,1.0,3.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1736.8627832039,32.0,1.0,1720.1133754262153,0.3849266282409493,-0.3849266282409493,-16.74940777768483,11.78125,33.0,11.78125,33.2,-0.3488328313253012
Alex Iwobi,LW,28.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Starter,11.0,0.0,2.0,5.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1720.4047393419062,0.3802612157748522,-0.3802612157748522,-13.026974526343798,11.78125,33.0,11.78125,33.2,-0.023531626506024094
Adama Traoré,RW,28.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,78.0,78,0-0,0-0,0.5,1.0,False,Other,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,-1.0,L,1740.29385253955,32.0,1.0,1741.9423063358126,0.38961329536433703,0.09063329433243907,1.6484537962625305,11.78125,33.0,11.78125,33.2,-0.3247364457831325
Harry Wilson,RW,27.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,78.0,95.0,17,0-0,1-0,0.0,0.0,False,Starter,0.2,0.0,1.0,4.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1716.8836776587555,0.3802612157748522,-0.3802612157748522,-16.548036209494555,11.78125,33.0,11.78125,33.2,-0.3488328313253012
Emile Smith Rowe,AM,24.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,64.0,64,0-0,0-0,0.5,1.0,False,Transfer,4.0,0.0,3.0,11.0,0.0,1.0,0.0,0.0,1.0,-1.0,L,1736.8627832039,32.0,1.0,1738.473712616375,0.3849266282409493,0.0775231136060973,1.610929412474865,11.78125,33.0,11.78125,33.2,-0.23437499999999997
Tom Cairney,"DM,AM",33.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,64.0,95.0,31,0-0,1-0,0.0,0.0,False,Starter,3.8,0.0,0.0,2.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1718.1117831060978,0.3802612157748522,-0.3802612157748522,-15.319930762152172,11.78125,33.0,11.78125,33.2,-0.24039909638554216
Saša Lukić,DM,28.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,91.0,91,0-0,1-0,0.0,0.0,False,Sub,11.6,0.0,2.0,16.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1736.8627832039,32.0,1.0,1723.9393853766935,0.3849266282409493,-0.3849266282409493,-12.923397827206603,11.78125,33.0,11.78125,33.2,-0.005459337349397601
Jay Stansfield,"AM,DM",21.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,91.0,95.0,4,1-0,1-0,0.5,1.0,False,Transfer,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,-1.0,L,1736.8627832039,32.0,1.0,1736.947622383525,0.3849266282409493,0.004845194600381081,0.084839179624898,11.78125,33.0,11.78125,33.2,-0.3548569277108433
Andreas Pereira,"DM,AM",28.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,91.0,91,0-0,1-0,0.0,0.0,False,Starter,11.0,0.0,1.0,15.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1720.4288351037844,0.3802612157748522,-0.3802612157748522,-13.002878764465498,11.78125,33.0,11.78125,33.2,-0.023531626506024094
Harrison Reed,DM,29.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,91.0,95.0,4,1-0,1-0,0.5,1.0,False,Sub,2.2,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,-1.0,L,1736.8627832039,32.0,1.0,1736.9563365332851,0.3849266282409493,0.004845194600381081,0.09355332938502758,11.78125,33.0,11.78125,33.2,-0.2885918674698795
Antonee Robinson,LB,27.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Starter,29.2,0.0,2.0,15.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1727.381849847831,0.3802612157748522,-0.3802612157748522,-6.049864020418999,11.78125,33.0,11.78125,33.2,0.5246611445783131
Calvin Bassey,CB,24.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Starter,9.2,0.0,1.0,5.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1719.7146954457157,0.3802612157748522,-0.3802612157748522,-13.717018422534164,11.78125,33.0,11.78125,33.2,-0.07774849397590362
Issa Diop,CB,27.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Starter,25.4,0.0,2.0,13.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1725.925090511429,0.3802612157748522,-0.3802612157748522,-7.506623356820881,11.78125,33.0,11.78125,33.2,0.41020331325301196
Kenny Tete,RB,28.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Other,10.0,0.0,2.0,7.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1740.29385253955,32.0,1.0,1726.568197465014,0.38961329536433703,-0.38961329536433703,-13.72565507453598,11.78125,33.0,11.78125,33.2,-0.053652108433734934
Bernd Leno,GK,32.0,Fulham,Away,0.0,1.0,ManUnited,1.0,1,2024-08-16,1–0,0.0,95.0,95,0-0,1-0,0.0,0.0,False,Starter,33.0,0.0,3.0,12.0,-1.0,1.0,0.0,0.0,1.0,-1.0,L,1733.43171386825,32.0,1.0,1728.8386091842328,0.3802612157748522,-0.3802612157748522,-4.593104684017117,11.78125,33.0,11.78125,33.2,0.6391189759036144
Liam Delap,FW,21.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,74.0,74,0-0,0-2,0.0,0.0,False,Other,6.4,0.0,2.0,8.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1677.3056258957301,0.4047234358865507,-0.5099195762592433,-18.602984942819877,10.612903225806452,38.0,12.406451612903227,58.0,-0.10355951056729702
Ali Al Hamadi,FW,22.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,74.0,99.0,25,0-2,0-2,0.5,1.0,False,Other,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1696.3907308995645,0.4047234358865507,0.0240597384124872,0.482120061014471,10.612903225806452,38.0,12.406451612903227,58.0,-0.17942157953281426
Omari Hutchinson,"LW,RW",20.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,7.2,0.0,1.0,11.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1677.3393938616362,0.4047234358865507,-0.5099195762592433,-18.569216976913864,10.612903225806452,38.0,12.406451612903227,58.0,-0.08976640711902116
Wes Burns,RW,29.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,57.0,57,0-0,0-0,0.5,1.0,False,Other,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1696.9616520252534,0.4047234358865507,0.05485620358047082,1.0530411867034741,10.612903225806452,38.0,12.406451612903227,58.0,-0.21390433815350393
Ben Johnson,"RB,RW",24.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,57.0,99.0,42,0-0,0-2,0.0,0.0,False,Other,11.0,0.0,0.0,-5.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1678.8816810995227,0.4047234358865507,-0.5099195762592433,-17.026929739027366,10.612903225806452,38.0,12.406451612903227,58.0,-0.024249165739710817
Conor Chaplin,AM,27.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,65.0,65,0-0,0-2,0.0,0.0,False,Other,4.2,0.0,2.0,12.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1676.7411572159535,0.4047234358865507,-0.5099195762592433,-19.167453622596337,10.612903225806452,38.0,12.406451612903227,58.0,-0.14149054505005562
Marcus Harness,AM,28.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,65.0,99.0,34,0-2,0-2,0.5,1.0,False,Other,5.4,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1696.6111349904643,0.4047234358865507,0.03272124424098259,0.7025241519142463,10.612903225806452,38.0,12.406451612903227,58.0,-0.12080088987764184
Massimo Luongo,DM,31.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,65.0,65,0-0,0-2,0.0,0.0,False,Other,10.8,0.0,2.0,8.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1678.6519255901414,0.4047234358865507,-0.5099195762592433,-17.256685248408456,10.612903225806452,38.0,12.406451612903227,58.0,-0.02769744160177977
Jack Taylor,DM,26.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,65.0,99.0,34,0-2,0-2,0.5,1.0,False,Other,3.2,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1696.5808261929183,0.4047234358865507,0.03272124424098259,0.6722153543683508,10.612903225806452,38.0,12.406451612903227,58.0,-0.15873192436040046
Sam Morsy,DM,32.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,16.2,0.0,2.0,14.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1679.983474466188,0.4047234358865507,-0.5099195762592433,-15.925136372361976,10.612903225806452,38.0,12.406451612903227,58.0,0.06540600667408228
Leif Davis,LB,24.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,14.8,0.0,1.0,-1.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1679.5721730388132,0.4047234358865507,-0.5099195762592433,-16.336437799736714,10.612903225806452,38.0,12.406451612903227,58.0,0.04126807563959954
