Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Cresswell,D,28,WestHam,36,3230,27.8,1.11,1688.0,12.0,0.71,0.35,15,12.0
Aaron Lennon,M,31,Burnley,35,2356,37.1,1.49,1712.0,-27.0,-1.57,-0.35,10,5.0
Aaron Mooy,M,27,Huddersfield,36,3217,22.2,0.94,1657.0,-23.0,-1.35,-0.27,3,10.0
Aaron Ramsey,M,27,Arsenal,24,1940,58.3,1.88,1839.0,59.0,3.32,1.5,4,45.0
Aaron Wan-Bissaka,D,20,CrystalPalace,7,653,28.6,1.0,1702.0,25.0,1.51,1.19,10,1.0
Abdelhamid Sabiri,F,21,Huddersfield,5,233,0.0,0.4,1604.0,-34.0,-2.1,-1.04,22,1.0
Abdoulaye Doucouré,M,25,Watford,37,3524,29.7,1.11,1683.0,23.0,1.38,0.53,6,15.0
Adam Lallana,F,30,Liverpool,12,280,33.3,1.58,1812.0,20.0,1.09,0.85,19,25.0
Adam Smith,D,26,Bournemouth,27,2212,25.9,1.07,1652.0,-31.0,-1.83,-0.49,18,5.0
Ademola Lookman,F,20,Everton,7,190,28.6,1.29,1700.0,-1.0,-0.07,0.24,19,12.0
Adrian Mariappa,D,31,Watford,28,2348,25.0,0.96,1641.0,-58.0,-3.42,-1.04,18,1.5
Adrien Silva,M,29,Leicester,12,803,25.0,1.0,1649.0,-85.0,-4.9,-2.38,23,20.0
Adrián,G,31,WestHam,19,1803,36.8,1.42,1733.0,73.0,4.37,2.05,4,5.0
Ahmed Hegazi,D,27,WestBrom,38,3586,15.8,0.82,1673.0,-47.0,-2.72,-0.67,8,5.0
Ainsley Maitland-Niles,M,20,Arsenal,15,975,20.0,1.07,1715.0,-46.0,-2.63,-1.08,26,7.0
Alberto Moreno,D,25,Liverpool,16,1338,37.5,1.62,1790.0,42.0,2.43,1.36,24,10.0
Aleksandar Dragović,D,27,Leicester,11,816,27.3,1.09,1684.0,-31.0,-1.83,-0.74,19,10.0
Aleksandar Mitrović,F,23,Newcastle,6,118,50.0,2.0,1720.0,18.0,1.07,0.97,7,15.0
Alex Iwobi,M,22,Arsenal,26,1886,30.8,1.31,1763.0,-9.0,-0.52,-0.03,20,15.0
Alex McCarthy,G,28,Southampton,18,1717,16.7,0.94,1665.0,-44.0,-2.55,-0.95,15,2.5
Alex Oxlade-Chamberlain,F,24,Liverpool,32,1493,48.7,1.74,1866.0,112.0,6.37,2.01,9,40.0
Alex Pritchard,F,25,Huddersfield,14,1043,21.4,0.93,1633.0,-17.0,-1.02,-0.27,9,10.0
Alexander Sørloth,F,22,CrystalPalace,4,377,0.0,0.0,1646.0,-32.0,-1.89,-1.0,25,7.0
Alexandre Lacazette,F,26,Arsenal,32,2291,50.0,1.78,1852.0,73.0,4.09,1.54,2,60.0
Alexis Sánchez,F,29,ManUnited,31,2659,54.8,1.9,1867.0,112.0,6.41,2.33,10,70.0
Alfie Mawson,D,24,Swansea,38,3605,21.1,0.87,1647.0,-37.0,-2.19,-0.5,11,15.0
Allan Nyom,D,30,WestBrom,29,2454,17.2,0.86,1624.0,-68.0,-4.04,-1.22,17,4.5
Ander Herrera,M,28,ManUnited,26,1357,26.9,1.35,1811.0,20.0,1.11,0.6,23,30.0
Andre Gray,F,26,Watford,31,1611,22.6,1.0,1625.0,-56.0,-3.32,-0.94,26,15.0
Andreas Christensen,D,22,Chelsea,27,2174,44.4,1.63,1802.0,40.0,2.26,1.0,18,40.0
Andrew Robertson,D,24,Liverpool,22,2029,63.6,2.14,1884.0,110.0,6.2,2.77,7,25.0
Andrew Surman,M,31,Bournemouth,25,1991,32.0,1.16,1690.0,20.0,1.18,0.61,8,2.5
Andros Townsend,F,26,CrystalPalace,36,3258,25.0,1.08,1701.0,47.0,2.84,0.97,11,15.0
André Ayew,F,28,Swansea,30,1784,9.5,0.69,1627.0,-45.0,-2.71,-0.6,18,15.0
André Carrillo,F,26,Watford,28,1643,28.6,1.21,1626.0,-50.0,-3.0,-0.87,25,6.0
Andy Carroll,D,29,WestHam,16,814,37.5,1.5,1708.0,11.0,0.64,0.51,6,10.0
Andy King,M,29,Swansea,30,1811,6.7,0.67,1641.0,-37.0,-2.16,-0.58,13,3.0
Angelo Ogbonna,D,29,WestHam,32,3044,25.0,1.06,1701.0,27.0,1.61,0.66,11,9.0
Anthony Knockaert,F,26,Brighton,33,2527,27.3,1.3,1716.0,43.0,2.58,0.95,2,8.0
Anthony Martial,F,22,ManUnited,30,1668,56.7,1.93,1848.0,60.0,3.33,1.34,15,65.0
Antonio Rüdiger,D,25,Chelsea,27,2467,59.3,1.96,1846.0,80.0,4.56,1.85,5,40.0
Antonio Valencia,D,32,ManUnited,31,2885,67.7,2.13,1880.0,80.0,4.44,1.7,7,8.0
Arthur Masuaku,D,24,WestHam,27,1984,25.9,1.22,1724.0,41.0,2.46,1.03,5,7.0
Ashley Barnes,F,28,Burnley,36,2304,33.3,1.42,1730.0,46.0,2.76,0.95,8,8.0
Ashley Westwood,M,28,Burnley,19,1184,31.6,1.37,1689.0,-12.0,-0.69,-0.11,16,4.0
Ashley Williams,D,33,Everton,24,1926,33.3,1.25,1715.0,-28.0,-1.62,-0.46,14,5.0
Ashley Young,D,32,ManUnited,30,2575,53.3,1.8,1854.0,58.0,3.21,1.3,12,7.0
Asmir Begović,G,30,Bournemouth,38,3638,28.9,1.16,1696.0,17.0,1.03,0.42,3,8.0
Axel Tuanzebe,F,20,ManUnited,1,2,0.0,1.0,1797.0,0.0,0.0,0.36,24,1.0
Aymeric Laporte,D,23,ManCity,9,842,100.0,3.0,1960.0,98.0,5.24,3.59,11,50.0
Ayoze Pérez,F,24,Newcastle,36,2615,30.6,1.31,1810.0,146.0,8.78,2.72,1,10.0
Badou Ndiaye,M,27,Stoke,13,1196,7.7,0.77,1686.0,-4.0,-0.22,0.11,2,15.0
Bakary Sako,M,29,CrystalPalace,16,543,43.8,1.62,1723.0,47.0,2.81,1.5,7,5.0
Ben Chilwell,D,21,Leicester,24,1962,41.7,1.5,1721.0,7.0,0.4,0.33,8,8.0
Ben Davies,D,25,Tottenham,29,2452,51.7,1.86,1899.0,72.0,3.97,1.61,6,25.0
Ben Foster,G,35,WestBrom,37,3529,16.2,0.81,1630.0,-62.0,-3.66,-0.95,15,3.0
Ben Hamer,G,30,Leicester,4,296,0.0,0.5,1683.0,-59.0,-3.37,-2.1,20,0.5
Ben Mee,D,28,Burnley,29,2751,34.5,1.38,1768.0,71.0,4.17,1.59,3,10.0
Ben Watson,M,32,Watford,8,479,12.5,0.5,1597.0,-79.0,-4.74,-2.51,29,1.0
Ben Woodburn,F,18,Liverpool,1,9,100.0,3.0,1803.0,0.0,0.0,0.36,22,5.0
Beni Baningime,M,19,Everton,8,221,0.0,0.75,1676.0,-41.0,-2.4,-1.17,24,3.0
Benik Afobe,F,24,Bournemouth,17,601,5.9,0.76,1623.0,-43.0,-2.6,-0.94,22,10.0
Benjamin Mendy,D,23,ManCity,7,391,57.1,2.14,1839.0,43.0,2.37,1.85,22,40.0
Beram Kayal,F,30,Brighton,19,806,0.0,0.63,1619.0,-51.0,-3.08,-1.1,22,1.5
Bernardo Silva,F,23,ManCity,35,1645,48.6,1.91,1898.0,125.0,7.05,2.39,17,50.0
Boaz Myhill,G,34,WestBrom,1,96,0.0,1.0,1689.0,0.0,0.0,0.36,5,1.0
Bojan Krkić,F,26,Stoke,1,72,0.0,0.0,1675.0,0.0,0.0,0.36,6,1.5
Brahim Díaz,D,18,ManCity,5,72,40.0,1.6,1836.0,-14.0,-0.74,-0.25,23,5.0
Bruno,D,37,Brighton,25,2117,24.0,1.12,1680.0,21.0,1.26,0.63,9,0.75
Bruno Martins Indi,D,26,Stoke,17,1308,5.9,0.65,1635.0,-50.0,-2.96,-1.13,21,10.0
Callum Wilson,F,26,Bournemouth,28,2072,25.0,1.07,1693.0,9.0,0.51,0.34,4,10.0
Calum Chambers,D,23,Arsenal,12,905,50.0,1.58,1778.0,-19.0,-1.04,-0.35,15,14.0
Cenk Tosun,F,26,Everton,14,1023,28.6,1.21,1736.0,24.0,1.37,0.92,6,23.0
Cesc Fàbregas,M,31,Chelsea,32,2425,50.0,1.75,1833.0,58.0,3.29,1.25,8,30.0
Chancel Mbemba,D,23,Newcastle,9,706,22.2,0.89,1664.0,-6.0,-0.34,0.06,23,6.0
Charlie Adam,M,32,Stoke,11,443,9.1,0.91,1637.0,-46.0,-2.71,-1.22,19,2.5
Charlie Austin,F,28,Southampton,24,1123,29.2,1.38,1724.0,22.0,1.28,0.67,1,10.0
Charlie Daniels,D,31,Bournemouth,35,3185,25.7,1.03,1656.0,-12.0,-0.71,-0.08,17,3.5
Charlie Taylor,D,24,Burnley,11,1005,9.1,0.73,1672.0,-43.0,-2.51,-1.12,21,5.0
Charly Musonda Jr.,F,21,Chelsea,3,47,33.3,1.67,1803.0,14.0,0.77,0.92,17,5.0
Cheikhou Kouyaté,M,28,WestHam,33,2949,24.2,1.09,1643.0,-17.0,-1.03,-0.17,22,12.0
Chris Brunt,M,33,WestBrom,26,2029,34.6,1.42,1709.0,13.0,0.8,0.45,1,3.0
Chris Löwe,D,29,Huddersfield,23,1658,21.7,1.04,1631.0,-39.0,-2.36,-0.72,12,1.5
Chris Smalling,D,28,ManUnited,29,2682,62.1,2.0,1907.0,124.0,6.94,2.66,5,18.0
Chris Wood,F,26,Burnley,24,1684,45.8,1.75,1807.0,92.0,5.37,2.24,1,18.0
Christian Atsu,M,26,Newcastle,28,1884,21.4,1.11,1682.0,19.0,1.16,0.55,16,6.0
Christian Benteke,F,27,CrystalPalace,31,2368,29.0,1.16,1676.0,37.0,2.24,0.87,18,22.0
Christian Eriksen,F,26,Tottenham,37,3375,64.9,2.11,1976.0,135.0,7.33,2.48,1,80.0
Christian Fuchs,D,32,Leicester,25,2047,28.0,1.2,1712.0,11.0,0.64,0.41,10,5.0
Christian Kabasele,D,27,Watford,28,2466,28.6,1.14,1674.0,-16.0,-0.96,-0.17,12,7.0
Christopher Schindler,D,28,Huddersfield,37,3430,24.3,1.0,1658.0,-10.0,-0.59,-0.04,2,6.0
