Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Cresswell,D,33,WestHam,28,2375.0,28.6,1.04,1750.0,-13.0,-0.75,-0.05,14,1.2
Aaron Hickey,D,20,Brentford,26,2002.0,30.8,1.23,1752.0,19.0,1.1,0.64,22,25.0
Aaron Ramsdale,G,25,Arsenal,38,3664.0,68.4,2.21,1980.0,145.0,7.87,2.66,5,40.0
Aaron Wan-Bissaka,D,25,ManUnited,19,1523.0,63.2,2.11,1896.0,119.0,6.69,3.28,8,25.0
Abdoulaye Doucouré,M,30,Everton,25,1676.0,24.0,1.12,1768.0,48.0,2.78,1.29,4,12.0
Adam Armstrong,F,26,Southampton,30,1445.0,20.0,1.07,1717.0,-2.0,-0.14,0.17,7,10.0
Adam Forshaw,M,31,Leeds,12,529.0,8.3,0.75,1690.0,-61.0,-3.46,-1.55,14,1.2
Adam Lallana,F,34,Brighton,16,753.0,50.0,1.81,1825.0,38.0,2.14,1.33,14,1.2
Adam Smith,D,32,Bournemouth,37,3126.0,27.0,1.03,1664.0,-83.0,-4.73,-1.26,27,1.2
Adam Webster,D,28,Brighton,27,2116.0,40.7,1.56,1823.0,36.0,1.99,0.98,15,25.0
Adama Traoré,F,27,Wolves,34,1638.0,20.6,0.97,1687.0,-58.0,-3.35,-0.87,28,10.0
Ainsley Maitland-Niles,D,25,Southampton,22,1508.0,13.6,0.77,1664.0,-76.0,-4.38,-1.54,25,8.0
Albert Sambi Lokonga,M,23,CrystalPalace,15,793.0,13.3,0.93,1763.0,-26.0,-1.43,-0.43,14,15.0
Alejandro Garnacho,F,18,ManUnited,19,621.0,47.4,1.74,1843.0,59.0,3.33,1.76,17,25.0
Aleksandar Mitrović,F,28,Fulham,24,2124.0,41.7,1.5,1835.0,95.0,5.47,2.37,3,28.0
Alex Iwobi,F,27,Everton,38,3594.0,21.1,0.95,1732.0,11.0,0.64,0.37,12,28.0
Alex McCarthy,G,33,Southampton,6,585.0,0.0,0.17,1665.0,-38.0,-2.22,-1.03,24,1.2
Alex Mighten,F,20,Forest,1,11.0,0.0,1.0,1725.0,0.0,0.0,0.5,11,0.6
